instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	m4.2xlarge	16	64000	13482	100	140000000	536
4	c4.2xlarge	32	60000	9530	1000	10000000	184
4	c4.2xlarge	32	60000	19260	100	200000000	384
4	m4.2xlarge	32	128000	9530	1000	10000000	176
4	m4.2xlarge	32	128000	19260	100	200000000	362
4	r4.2xlarge	32	244000	11556	100	120000000	134
6	c4.2xlarge	48	90000	9630	100	100000000	162
6	c4.2xlarge	48	90000	11556	100	120000000	188
6	c4.2xlarge	48	90000	15408	100	160000000	264
6	c4.2xlarge	48	90000	17334	100	180000000	272
6	m4.2xlarge	48	192000	9630	100	100000000	166
6	m4.2xlarge	48	192000	15408	100	160000000	244
6	m4.2xlarge	48	192000	17334	100	180000000	270
8	m4.2xlarge	64	256000	19260	100	200000000	280
10	m4.2xlarge	80	320000	9530	1000	10000000	148
10	r4.2xlarge	80	610000	9530	1000	10000000	98
10	r4.2xlarge	80	610000	11556	100	120000000	106
10	r4.2xlarge	80	610000	15408	100	160000000	130
10	r4.2xlarge	80	610000	17334	100	180000000	150
10	r4.2xlarge	80	610000	19260	100	200000000	156
12	c4.2xlarge	96	180000	13482	100	140000000	176
12	m4.2xlarge	96	384000	9530	1000	10000000	140
12	m4.2xlarge	96	384000	9630	100	100000000	140
12	m4.2xlarge	96	384000	11556	100	120000000	160
12	m4.2xlarge	96	384000	13482	100	140000000	184
12	m4.2xlarge	96	384000	15408	100	160000000	204
12	m4.2xlarge	96	384000	17334	100	180000000	226
12	m4.2xlarge	96	384000	19260	100	200000000	252
12	r4.2xlarge	96	732000	9630	100	100000000	94
12	r4.2xlarge	96	732000	13482	100	140000000	118
