instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
2	r4.2xlarge	16	122000	13200	5	125000000	7	1170
2	r4.2xlarge	16	122000	16000	5	150000000	7	1166
2	r4.2xlarge	16	122000	18600	5	175000000	5	2676
2	r4.2xlarge	16	122000	20300	10	100000000	7	1264
2	r4.2xlarge	16	122000	21300	5	200000000	3	3284
4	r4.2xlarge	32	244000	13200	5	125000000	5	354
4	r4.2xlarge	32	244000	16000	5	150000000	3	354
4	r4.2xlarge	32	244000	18600	5	175000000	5	476
4	r4.2xlarge	32	244000	20300	10	100000000	5	390
4	r4.2xlarge	32	244000	21300	5	200000000	5	564
6	r4.2xlarge	48	366000	13200	5	125000000	5	242
6	r4.2xlarge	48	366000	18600	5	175000000	3	246
6	r4.2xlarge	48	366000	20300	10	100000000	5	252
6	r4.2xlarge	48	366000	21300	5	200000000	5	360
8	r4.2xlarge	64	488000	16000	5	150000000	5	218
8	r4.2xlarge	64	488000	20300	10	100000000	7	198
10	r4.2xlarge	80	610000	13200	5	125000000	5	176
10	r4.2xlarge	80	610000	18600	5	175000000	5	196
10	r4.2xlarge	80	610000	20300	10	100000000	7	174
10	r4.2xlarge	80	610000	21300	5	200000000	7	248
12	r4.2xlarge	96	732000	13200	5	125000000	5	154
12	r4.2xlarge	96	732000	16000	5	150000000	5	172
12	r4.2xlarge	96	732000	20300	10	100000000	5	142
12	r4.2xlarge	96	732000	21300	5	200000000	5	186
12	r4.xlarge	48	366000	16000	5	150000000	3	236
