instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	m4.2xlarge	16	64000	15408	100	160000000	628
4	c4.2xlarge	32	60000	11556	100	120000000	226
4	c4.2xlarge	32	60000	13482	100	140000000	266
4	c4.2xlarge	32	60000	17334	100	180000000	344
6	m4.2xlarge	48	192000	15408	100	160000000	244
8	c4.2xlarge	64	120000	9530	1000	10000000	142
8	c4.2xlarge	64	120000	9630	100	100000000	144
8	c4.2xlarge	64	120000	19260	100	200000000	266
10	m4.2xlarge	80	320000	9530	1000	10000000	148
10	m4.2xlarge	80	320000	9630	100	100000000	144
10	m4.2xlarge	80	320000	19260	100	200000000	268
10	r4.2xlarge	80	610000	9530	1000	10000000	94
10	r4.2xlarge	80	610000	9630	100	100000000	96
10	r4.2xlarge	80	610000	11556	100	120000000	106
10	r4.2xlarge	80	610000	15408	100	160000000	130
10	r4.2xlarge	80	610000	17334	100	180000000	150
10	r4.2xlarge	80	610000	19260	100	200000000	156
12	c4.2xlarge	96	180000	11556	100	120000000	156
12	c4.2xlarge	96	180000	13482	100	140000000	176
12	c4.2xlarge	96	180000	17334	100	180000000	304
12	m4.2xlarge	96	384000	11556	100	120000000	160
12	m4.2xlarge	96	384000	13482	100	140000000	184
12	m4.2xlarge	96	384000	15408	100	160000000	204
12	m4.2xlarge	96	384000	17334	100	180000000	226
12	r4.2xlarge	96	732000	13482	100	140000000	118
