instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
4	m4.2xlarge	32	128000	11556	100	120000000	228
4	m4.2xlarge	32	128000	15408	100	160000000	302
8	c4.2xlarge	64	120000	9530	1000	10000000	142
8	c4.2xlarge	64	120000	13482	100	140000000	194
8	c4.2xlarge	64	120000	19260	100	200000000	266
8	r4.2xlarge	64	488000	11556	100	120000000	112
8	r4.2xlarge	64	488000	15408	100	160000000	142
8	r4.2xlarge	64	488000	17334	100	180000000	164
10	c4.2xlarge	80	150000	17334	100	180000000	354
10	m4.2xlarge	80	320000	19260	100	200000000	262
10	r4.2xlarge	80	610000	9630	100	100000000	96
10	r4.2xlarge	80	610000	19260	100	200000000	156
12	c4.2xlarge	96	180000	9630	100	100000000	134
12	m4.2xlarge	96	384000	9530	1000	10000000	140
12	m4.2xlarge	96	384000	13482	100	140000000	184
