instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	c4.2xlarge	16	30000	9530	1000	10000000	340
2	c4.2xlarge	16	30000	9530	1000	10000000	352
2	c4.2xlarge	16	30000	9630	100	100000000	376
2	c4.2xlarge	16	30000	11556	100	120000000	436
2	c4.2xlarge	16	30000	17334	100	180000000	668
2	c4.2xlarge	16	30000	19260	100	200000000	734
2	c4.2xlarge	16	30000	19260	100	200000000	744
2	m4.2xlarge	16	64000	9630	100	100000000	388
2	m4.2xlarge	16	64000	11556	100	120000000	456
2	m4.2xlarge	16	64000	13482	100	140000000	538
2	m4.2xlarge	16	64000	15408	100	160000000	628
2	m4.2xlarge	16	64000	15408	100	160000000	634
2	m4.2xlarge	16	64000	17334	100	180000000	732
2	m4.2xlarge	16	64000	17334	100	180000000	762
2	m4.2xlarge	16	64000	19260	100	200000000	866
2	r4.2xlarge	16	122000	9630	100	100000000	218
2	r4.2xlarge	16	122000	11556	100	120000000	258
2	r4.2xlarge	16	122000	17334	100	180000000	362
2	r4.2xlarge	16	122000	17334	100	180000000	368
4	c4.2xlarge	32	60000	9630	100	100000000	192
4	c4.2xlarge	32	60000	13482	100	140000000	266
4	m4.2xlarge	32	128000	9530	1000	10000000	176
4	m4.2xlarge	32	128000	11556	100	120000000	216
4	m4.2xlarge	32	128000	11556	100	120000000	226
4	m4.2xlarge	32	128000	13482	100	140000000	260
4	m4.2xlarge	32	128000	15408	100	160000000	302
4	m4.2xlarge	32	128000	17334	100	180000000	328
4	r4.2xlarge	32	244000	13482	100	140000000	150
4	r4.2xlarge	32	244000	17334	100	180000000	180
6	c4.2xlarge	48	90000	9530	1000	10000000	152
6	c4.2xlarge	48	90000	9630	100	100000000	158
6	c4.2xlarge	48	90000	9630	100	100000000	162
6	c4.2xlarge	48	90000	11556	100	120000000	186
6	c4.2xlarge	48	90000	15408	100	160000000	264
6	c4.2xlarge	48	90000	19260	100	200000000	294
6	m4.2xlarge	48	192000	9530	1000	10000000	166
6	m4.2xlarge	48	192000	9630	100	100000000	168
6	m4.2xlarge	48	192000	11556	100	120000000	196
6	m4.2xlarge	48	192000	13482	100	140000000	220
6	m4.2xlarge	48	192000	15408	100	160000000	248
6	m4.2xlarge	48	192000	17334	100	180000000	272
6	m4.2xlarge	48	192000	17334	100	180000000	282
6	m4.2xlarge	48	192000	19260	100	200000000	306
6	r4.2xlarge	48	366000	9530	1000	10000000	116
6	r4.2xlarge	48	366000	9630	100	100000000	106
6	r4.2xlarge	48	366000	11556	100	120000000	126
6	r4.2xlarge	48	366000	15408	100	160000000	142
6	r4.2xlarge	48	366000	15408	100	160000000	156
6	r4.2xlarge	48	366000	17334	100	180000000	158
6	r4.2xlarge	48	366000	17334	100	180000000	166
8	c4.2xlarge	64	120000	9530	1000	10000000	140
8	c4.2xlarge	64	120000	9630	100	100000000	142
8	c4.2xlarge	64	120000	11556	100	120000000	170
8	c4.2xlarge	64	120000	13482	100	140000000	192
8	c4.2xlarge	64	120000	15408	100	160000000	228
8	c4.2xlarge	64	120000	17334	100	180000000	248
8	c4.2xlarge	64	120000	19260	100	200000000	262
8	m4.2xlarge	64	256000	9530	1000	10000000	152
8	m4.2xlarge	64	256000	9630	100	100000000	154
8	m4.2xlarge	64	256000	13482	100	140000000	206
8	m4.2xlarge	64	256000	17334	100	180000000	254
8	m4.2xlarge	64	256000	17334	100	180000000	258
8	m4.2xlarge	64	256000	19260	100	200000000	626
8	r4.2xlarge	64	488000	11556	100	120000000	108
8	r4.2xlarge	64	488000	11556	100	120000000	112
8	r4.2xlarge	64	488000	15408	100	160000000	138
8	r4.2xlarge	64	488000	17334	100	180000000	208
8	r4.2xlarge	64	488000	19260	100	200000000	158
10	c4.2xlarge	80	150000	9530	1000	10000000	138
10	c4.2xlarge	80	150000	11556	100	120000000	164
10	c4.2xlarge	80	150000	15408	100	160000000	210
10	c4.2xlarge	80	150000	19260	100	200000000	250
10	m4.2xlarge	80	320000	9530	1000	10000000	160
10	m4.2xlarge	80	320000	9630	100	100000000	148
10	m4.2xlarge	80	320000	11556	100	120000000	168
10	m4.2xlarge	80	320000	13482	100	140000000	194
10	m4.2xlarge	80	320000	15408	100	160000000	220
10	m4.2xlarge	80	320000	17334	100	180000000	250
10	m4.2xlarge	80	320000	19260	100	200000000	268
10	r4.2xlarge	80	610000	9530	1000	10000000	98
10	r4.2xlarge	80	610000	9530	1000	10000000	114
10	r4.2xlarge	80	610000	11556	100	120000000	106
10	r4.2xlarge	80	610000	11556	100	120000000	112
10	r4.2xlarge	80	610000	15408	100	160000000	128
10	r4.2xlarge	80	610000	17334	100	180000000	140
10	r4.2xlarge	80	610000	19260	100	200000000	154
10	r4.2xlarge	80	610000	19260	100	200000000	170
12	c4.2xlarge	96	180000	9630	100	100000000	132
12	c4.2xlarge	96	180000	13482	100	140000000	176
12	c4.2xlarge	96	180000	17334	100	180000000	304
12	m4.2xlarge	96	384000	11556	100	120000000	160
12	m4.2xlarge	96	384000	13482	100	140000000	186
12	m4.2xlarge	96	384000	15408	100	160000000	210
12	m4.2xlarge	96	384000	17334	100	180000000	238
12	m4.2xlarge	96	384000	19260	100	200000000	322
12	r4.2xlarge	96	732000	9530	1000	10000000	74
12	r4.2xlarge	96	732000	9630	100	100000000	96
12	r4.2xlarge	96	732000	11556	100	120000000	104
12	r4.2xlarge	96	732000	13482	100	140000000	118
12	r4.2xlarge	96	732000	17334	100	180000000	138
12	r4.2xlarge	96	732000	17334	100	180000000	172
12	r4.2xlarge	96	732000	17334	100	180000000	210
6	r4.2xlarge	48	366000	13482	100	140000000	144
6	r4.2xlarge	48	366000	9530	1000	10000000	174
6	r4.2xlarge	48	366000	9530	1000	10000000	92
6	r4.2xlarge	48	366000	9530	1000	10000000	84
6	m4.2xlarge	48	192000	19260	100	200000000	316
6	m4.2xlarge	48	192000	15408	100	160000000	266
6	m4.2xlarge	48	192000	11556	100	120000000	210
6	c4.2xlarge	48	90000	17334	100	180000000	272
6	c4.2xlarge	48	90000	15408	100	160000000	242
6	c4.2xlarge	48	90000	13482	100	140000000	218
6	c4.2xlarge	48	90000	13482	100	140000000	212
4	r4.2xlarge	32	244000	15408	100	160000000	196
4	r4.2xlarge	32	244000	9530	1000	10000000	116
4	m4.2xlarge	32	128000	19260	100	200000000	378
4	m4.2xlarge	32	128000	17334	100	180000000	344
4	m4.2xlarge	32	128000	17334	100	180000000	334
8	m4.2xlarge	64	256000	17334	100	180000000	488
4	m4.2xlarge	32	128000	15408	100	160000000	292
4	m4.2xlarge	32	128000	13482	100	140000000	250
4	c4.2xlarge	32	60000	19260	100	200000000	368
4	c4.2xlarge	32	60000	15408	100	160000000	326
12	r4.2xlarge	96	732000	15408	100	160000000	124
4	c4.2xlarge	32	60000	9530	1000	10000000	184
12	m4.2xlarge	96	384000	19260	100	200000000	342
8	c4.2xlarge	64	120000	17334	100	180000000	284
8	c4.2xlarge	64	120000	17334	100	180000000	260
8	m4.2xlarge	64	256000	19260	100	200000000	280
8	m4.2xlarge	64	256000	19260	100	200000000	332
8	c4.2xlarge	64	120000	17334	100	180000000	238
8	r4.2xlarge	64	488000	17334	100	180000000	152
8	r4.2xlarge	64	488000	17334	100	180000000	272
10	c4.2xlarge	80	150000	17334	100	180000000	354
10	m4.2xlarge	80	320000	9530	1000	10000000	148
10	m4.2xlarge	80	320000	9530	1000	10000000	154
10	m4.2xlarge	80	320000	17334	100	180000000	238
10	m4.2xlarge	80	320000	17334	100	180000000	244
10	m4.2xlarge	80	320000	19260	100	200000000	434
10	r4.2xlarge	80	610000	17334	100	180000000	150
6	r4.2xlarge	48	366000	19260	100	200000000	188
10	r4.2xlarge	80	610000	19260	100	200000000	212
12	c4.2xlarge	96	180000	15408	100	160000000	204
12	m4.2xlarge	96	384000	9530	1000	10000000	148
12	m4.2xlarge	96	384000	11556	100	120000000	172
6	r4.2xlarge	48	366000	15408	100	160000000	194
8	m4.2xlarge	64	256000	17334	100	180000000	310
2	c4.2xlarge	16	30000	15408	100	160000000	600
2	c4.2xlarge	16	30000	11556	100	120000000	444
2	c4.2xlarge	16	30000	11556	100	120000000	462
2	c4.2xlarge	16	30000	13482	100	140000000	512
2	c4.2xlarge	16	30000	15408	100	160000000	578
2	c4.2xlarge	16	30000	15408	100	160000000	590
2	m4.2xlarge	16	64000	13482	100	140000000	550
2	c4.2xlarge	16	30000	15408	100	160000000	608
2	c4.2xlarge	16	30000	17334	100	180000000	678
2	c4.2xlarge	16	30000	19260	100	200000000	754
2	c4.2xlarge	16	30000	19260	100	200000000	724
2	c4.2xlarge	16	30000	11556	100	120000000	422
2	m4.2xlarge	16	64000	17334	100	180000000	742
2	c4.2xlarge	16	30000	9630	100	100000000	368
2	c4.2xlarge	16	30000	9530	1000	10000000	360
2	c4.2xlarge	16	30000	9630	100	100000000	360
2	m4.2xlarge	16	64000	11556	100	120000000	466
