instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
2	c4.2xlarge	16	30000	13482	100	140000000	494
2	c4.2xlarge	16	30000	17334	100	180000000	666
2	m4.2xlarge	16	64000	9530	1000	10000000	378
2	m4.2xlarge	16	64000	11556	100	120000000	454
2	m4.2xlarge	16	64000	13482	100	140000000	538
2	m4.2xlarge	16	64000	19260	100	200000000	842
2	r4.2xlarge	16	122000	17334	100	180000000	364
6	c4.2xlarge	48	90000	9530	1000	10000000	152
6	c4.2xlarge	48	90000	9630	100	100000000	158
6	c4.2xlarge	48	90000	19260	100	200000000	294
6	m4.2xlarge	48	192000	15408	100	160000000	246
6	m4.2xlarge	48	192000	17334	100	180000000	272
6	r4.2xlarge	48	366000	9630	100	100000000	106
6	r4.2xlarge	48	366000	17334	100	180000000	160
8	c4.2xlarge	64	120000	9630	100	100000000	140
8	m4.2xlarge	64	256000	9530	1000	10000000	152
8	m4.2xlarge	64	256000	9630	100	100000000	154
10	c4.2xlarge	80	150000	13482	100	140000000	182
10	m4.2xlarge	80	320000	19260	100	200000000	264
10	r4.2xlarge	80	610000	11556	100	120000000	108
10	r4.2xlarge	80	610000	15408	100	160000000	130
12	c4.2xlarge	96	180000	19260	100	200000000	238
12	m4.2xlarge	96	384000	15408	100	160000000	206
12	r4.2xlarge	96	732000	9630	100	100000000	92
12	r4.2xlarge	96	732000	13482	100	140000000	116
