instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
4	r4.2xlarge	32	244000	9530	1000	10000000	96
6	c4.2xlarge	48	90000	9530	1000	10000000	154
6	c4.2xlarge	48	90000	9630	100	100000000	160
6	c4.2xlarge	48	90000	11556	100	120000000	186
6	c4.2xlarge	48	90000	17334	100	180000000	266
6	m4.2xlarge	48	192000	9630	100	100000000	168
6	m4.2xlarge	48	192000	17334	100	180000000	274
6	r4.2xlarge	48	366000	9530	1000	10000000	112
6	r4.2xlarge	48	366000	9630	100	100000000	108
6	r4.2xlarge	48	366000	17334	100	180000000	162
8	c4.2xlarge	64	120000	13482	100	140000000	192
8	c4.2xlarge	64	120000	15408	100	160000000	222
8	c4.2xlarge	64	120000	19260	100	200000000	262
8	m4.2xlarge	64	256000	11556	100	120000000	180
8	r4.2xlarge	64	488000	17334	100	180000000	164
10	m4.2xlarge	80	320000	13482	100	140000000	194
10	m4.2xlarge	80	320000	15408	100	160000000	216
10	m4.2xlarge	80	320000	19260	100	200000000	262
10	r4.2xlarge	80	610000	9530	1000	10000000	110
10	r4.2xlarge	80	610000	11556	100	120000000	108
10	r4.2xlarge	80	610000	15408	100	160000000	132
10	r4.2xlarge	80	610000	17334	100	180000000	144
10	r4.2xlarge	80	610000	19260	100	200000000	154
12	r4.2xlarge	96	732000	9630	100	100000000	94
12	r4.2xlarge	96	732000	13482	100	140000000	118
